time_series,FiT,FiT_large,exp_tar
01/01/2010,0.00,0.00,0.00
01/02/2010,0.00,0.00,0.00
01/03/2010,0.00,0.00,0.00
01/04/2010,51.64,45.04,3.64
01/05/2010,51.64,45.04,3.64
01/06/2010,51.64,45.04,3.64
01/07/2010,51.64,45.04,3.64
01/08/2010,51.64,45.04,3.64
01/09/2010,51.64,45.04,3.64
01/10/2010,51.64,45.04,3.64
01/11/2010,51.64,45.04,3.64
01/12/2010,51.64,45.04,3.64
01/01/2011,49.43,43.11,3.48
01/02/2011,49.43,43.11,3.48
01/03/2011,49.43,43.11,3.48
01/04/2011,49.43,43.11,3.48
01/05/2011,49.43,43.11,3.48
01/06/2011,49.43,43.11,3.48
01/07/2011,49.43,43.11,3.48
01/08/2011,49.43,43.11,3.48
01/09/2011,49.43,43.11,3.48
01/10/2011,49.43,43.11,3.48
01/11/2011,49.43,43.11,3.48
01/12/2011,49.43,43.11,3.48
01/01/2012,22.22,17.78,3.38
01/02/2012,48.04,41.90,3.38
01/03/2012,22.22,17.78,3.38
01/04/2012,22.22,17.78,3.38
01/05/2012,22.22,17.78,3.38
01/06/2012,22.22,17.78,3.38
01/07/2012,22.22,17.78,3.38
01/08/2012,16.94,15.35,4.77
01/09/2012,16.94,15.35,4.77
01/10/2012,16.94,15.35,4.77
01/11/2012,15.84,14.36,4.77
01/12/2012,15.84,14.36,4.77
01/01/2013,15.46,14.01,4.66
01/02/2013,15.46,14.01,4.66
01/03/2013,15.46,14.01,4.66
01/04/2013,15.46,14.01,4.66
01/05/2013,15.46,14.01,4.66
01/06/2013,15.46,14.01,4.66
01/07/2013,14.92,13.51,4.66
01/08/2013,14.92,13.51,4.66
01/09/2013,14.92,13.51,4.66
01/10/2013,14.92,13.51,4.66
01/11/2013,14.92,13.51,4.66
01/12/2013,14.92,13.51,4.66
01/01/2014,14.31,12.96,4.59
01/02/2014,14.31,12.96,4.59
01/03/2014,14.31,12.96,4.59
01/04/2014,13.81,12.52,4.59
01/05/2014,13.81,12.52,4.59
01/06/2014,13.81,12.52,4.59
01/07/2014,13.81,12.52,4.59
01/08/2014,13.81,12.52,4.59
01/09/2014,13.81,12.52,4.59
01/10/2014,13.81,12.52,4.59
01/11/2014,13.81,12.52,4.59
01/12/2014,13.81,12.52,4.59
01/01/2015,13.12,11.88,4.59
01/02/2015,13.12,11.88,4.59
01/03/2015,13.12,11.88,4.59
01/04/2015,12.66,11.47,4.59
01/05/2015,12.66,11.47,4.59
01/06/2015,12.66,11.47,4.59
01/07/2015,12.22,11.07,4.59
01/08/2015,12.22,11.07,4.59
01/09/2015,12.22,11.07,4.59
01/10/2015,11.79,10.68,4.59
01/11/2015,11.79,10.68,4.59
01/12/2015,11.79,10.68,4.59
01/01/2016,0.00,0.00,0.00
01/02/2016,4.07,4.07,4.50
01/03/2016,4.07,4.07,4.50
01/04/2016,4.01,4.01,4.55
01/05/2016,4.01,4.01,4.55
01/06/2016,4.01,4.01,4.55
01/07/2016,3.94,3.94,4.55
01/08/2016,3.94,3.94,4.55
01/09/2016,3.94,3.94,4.55
01/10/2016,3.88,3.88,4.55
01/11/2016,3.88,3.88,4.55
01/12/2016,3.88,3.88,4.55
01/01/2017,3.71,3.71,4.44
01/02/2017,3.71,3.71,4.44
01/03/2017,3.71,3.71,4.44
01/04/2017,3.65,3.65,4.44
01/05/2017,3.65,3.65,4.44
01/06/2017,3.65,3.65,4.44
01/07/2017,3.59,3.59,4.44
01/08/2017,3.59,3.59,4.44
01/09/2017,3.59,3.59,4.44
01/10/2017,3.52,3.52,4.44
01/11/2017,3.52,3.52,4.44
01/12/2017,3.52,3.52,4.44
01/01/2018,3.38,3.38,4.33
01/02/2018,3.38,3.38,4.33
01/03/2018,3.38,3.38,4.33
01/04/2018,3.32,3.32,4.33
01/05/2018,3.32,3.32,4.33
01/06/2018,3.32,3.32,4.33
01/07/2018,3.25,3.25,4.33
01/08/2018,3.25,3.25,4.33
01/09/2018,3.25,3.25,4.33
01/10/2018,3.19,3.19,4.33
01/11/2018,3.19,3.19,4.33
01/12/2018,3.19,3.19,4.33
01/01/2019,3.08,3.08,4.25
01/02/2019,3.08,3.08,4.25
01/03/2019,3.08,3.08,4.25
