aacode	aagfh11	paired	casecat	fqtr	fmonth	fyear	tenure8x	tenure4x	tenure2x	gorehcs	gorehs	region3x	rumorph	imd1010	market_r
J0011101	1152.38460363712	1	1	1	4	2011	4	4	2	6	10	3	1	1	2
J0011102	796.279826418121	1	1	1	4	2011	4	4	2	6	10	3	1	3	2
J0011103	902.353448947438	0	4	1	4	2011	2	2	1	6	10	3	1	3	3
J0011104	1637.98950841144	0	5	1	4	2011	1	1	1	6	10	3	1	3	-9
J0011106	1500.43353392736	0	4	1	4	2011	4	4	2	6	10	3	1	2	2
J0011202	1155.29628401855	1	1	1	4	2011	2	2	1	6	10	3	1	3	3
J0011203	1894.56762429469	0	4	1	4	2011	1	1	1	6	10	3	1	2	-9
J0011204	1206.46033648839	0	4	1	4	2011	1	1	1	6	10	3	1	2	-9
J0011207	1232.19806764697	0	5	1	4	2011	1	1	1	6	10	3	3	3	-9
J0011303	1233.98509915943	1	1	1	5	2011	1	1	1	6	10	3	3	4	-9
J0011304	898.512966218203	1	1	1	5	2011	4	4	2	6	10	3	2	3	2
J0011307	1086.9006500585	1	1	1	5	2011	4	4	2	6	10	3	2	3	2
J0011401	1885.1365374174	1	1	1	5	2011	1	1	1	6	10	3	4	4	-9
J0011403	1306.29946825087	1	1	1	5	2011	1	1	1	6	10	3	2	6	-9
J0011404	1724.40170668547	1	1	1	5	2011	1	1	1	6	10	3	3	6	-9
J0011405	1000.73689225939	0	5	1	5	2011	1	1	1	6	10	3	2	2	-9
J0011406	1615.32406676592	1	1	1	5	2011	1	1	1	6	10	3	2	5	-9
J0011407	1419.42622915103	0	5	1	5	2011	1	1	1	6	10	3	3	6	-9
J0011408	1880.24699763304	0	4	1	5	2011	1	1	1	6	10	3	3	4	-9
J0012101	1495.59644567003	0	5	2	7	2011	1	1	1	6	10	3	3	4	-9
J0012102	2258.6917487883	1	1	2	7	2011	1	1	1	6	10	3	1	5	-9
J0012103	1465.27346823619	0	5	2	7	2011	1	1	1	6	10	3	1	1	-9
J0012105	990.045958833795	1	1	2	7	2011	4	4	2	6	10	3	1	1	2
J0012106	5661.06918169735	1	1	2	7	2011	1	1	1	6	10	3	1	2	-9
J0012107	2751.64109765677	0	5	2	7	2011	1	1	1	6	10	3	1	4	-9
J0012108	1541.13246704083	1	1	2	7	2011	1	1	1	6	10	3	1	2	-9
J0012201	687.763070450703	0	5	2	7	2011	1	1	1	6	10	3	1	2	-9
J0012203	2067.57475065854	1	1	2	7	2011	1	1	1	6	10	3	1	5	-9
J0012204	1340.77981398175	0	5	2	7	2011	1	1	1	6	10	3	1	6	-9
J0012207	1708.59466865344	1	1	2	7	2011	1	1	1	6	10	3	1	4	-9
J0012208	1582.61475863175	0	5	2	7	2011	1	1	1	6	10	3	1	6	-9
J0012301	1515.82478202939	0	5	2	8	2011	1	1	1	6	10	3	2	8	-9
J0012303	2417.08036753741	0	5	2	8	2011	1	1	1	6	10	3	2	5	-9
J0012304	1191.88863681397	1	1	2	8	2011	1	1	1	6	10	3	2	5	-9
J0012305	1947.56408061812	0	5	2	8	2011	1	1	1	6	10	3	4	6	-9
J0012306	1158.25769435467	1	1	2	8	2011	1	1	1	6	10	3	4	4	-9
J0012401	2526.09634496829	1	1	2	8	2011	2	2	1	6	10	3	1	4	3
J0012402	693.387752445844	1	1	2	8	2011	2	2	1	6	10	3	1	2	3
J0012403	893.520681804357	0	5	2	8	2011	1	1	1	6	10	3	1	2	-9
J0012405	1800.04376710004	1	1	2	8	2011	1	1	1	6	10	3	1	2	-9
J0012406	746.716682909147	1	1	2	8	2011	3	3	2	6	10	3	1	2	1
J0012407	867.922218065802	1	1	2	8	2011	3	3	2	6	10	3	1	1	1
J0012408	1562.36526842285	0	5	2	8	2011	1	1	1	6	10	3	1	4	-9
J0013102	1511.69253332725	1	1	3	10	2011	4	4	2	6	10	3	1	4	2
J0013104	1631.50593311439	0	5	3	10	2011	1	1	1	6	10	3	1	8	-9
J0013107	1584.38826082142	1	1	3	10	2011	1	1	1	6	10	3	1	3	-9
J0013201	4327.7717676999	0	5	3	10	2011	1	1	1	6	10	3	1	6	-9
J0013202	1852.54401635299	1	1	3	10	2011	2	2	1	6	10	3	1	6	3
J0013204	1462.15324354352	1	1	3	10	2011	1	1	1	6	10	3	1	4	-9
J0013205	1503.36306360221	0	5	3	10	2011	1	1	1	6	10	3	1	6	-9
J0013206	1831.6135628553	1	1	3	10	2011	2	2	1	6	10	3	1	8	3
J0013207	1395.64325323703	1	1	3	10	2011	1	1	1	6	10	3	1	8	-9
J0013303	1617.66813439099	0	5	3	11	2011	1	1	1	6	10	3	3	4	-9
J0013304	1685.33686228852	0	4	3	11	2011	1	1	1	6	10	3	3	6	-9
J0013305	1692.99534485278	0	5	3	11	2011	1	1	1	6	10	3	2	6	-9
J0013308	1344.37981620867	0	5	3	11	2011	1	1	1	6	10	3	3	6	-9
J0013402	783.58536032771	1	1	3	11	2011	3	3	2	6	10	3	1	2	1
J0013403	1751.35271196138	0	5	3	11	2011	1	1	1	6	10	3	1	8	-9
J0013406	1838.0327502732	1	1	3	11	2011	2	2	1	6	10	3	2	6	3
J0014103	1121.25055437633	0	5	4	1	2012	1	1	1	6	10	3	1	3	-9
J0014104	1692.99534485278	1	1	4	1	2012	1	1	1	6	10	3	4	5	-9
J0014106	1312.14941844135	1	1	4	1	2012	4	4	2	6	10	3	2	5	2
J0014203	888.98460202672	1	1	4	1	2012	4	4	2	6	10	3	2	6	2
J0014205	1255.12163026492	0	4	4	1	2012	1	1	1	6	10	3	3	4	-9
J0014303	1583.58510819408	0	5	4	2	2012	1	1	1	6	10	3	1	5	-9
J0014304	657.995382674058	1	1	4	2	2012	3	3	2	6	10	3	1	5	1
J0014308	1154.34553456902	0	5	4	2	2012	1	1	1	6	10	3	3	7	-9
J0014401	1669.26490181258	0	5	4	2	2012	1	1	1	6	10	3	3	5	-9
J0014404	1277.56342734016	1	1	4	2	2012	4	4	2	6	10	3	1	2	2
J0014406	1782.19604229844	0	5	4	2	2012	1	1	1	6	10	3	1	8	-9
J0014407	1594.74052429906	1	1	4	2	2012	4	4	2	6	10	3	1	2	2
J0014408	1364.65877075546	0	5	4	2	2012	1	1	1	6	10	3	4	4	-9
J0021104	705.928051250512	1	1	1	4	2011	2	2	1	6	10	3	1	3	3
J0021105	1088.49796935901	1	1	1	4	2011	1	1	1	6	10	3	1	7	-9
J0021106	1208.33379721607	1	1	1	4	2011	4	4	2	6	10	3	1	6	2
J0021201	849.669840960953	1	1	1	4	2011	1	1	1	6	10	3	3	5	-9
J0021203	1533.71395211087	1	1	1	4	2011	1	1	1	6	10	3	2	6	-9
J0021206	1017.90228632824	0	5	1	4	2011	1	1	1	6	10	3	1	5	-9
J0021207	1967.74189511378	1	1	1	4	2011	1	1	1	6	10	3	4	4	-9
J0021302	1665.55182287514	1	1	1	5	2011	4	4	2	6	10	3	4	4	2
