region,hhinc5x,Detached,Semi,Terraced,Flat
East,Q1,0.3,0.337,0.266,0.098
East,Q2,0.275,0.373,0.263,0.089
East,Q3,0.333,0.362,0.224,0.081
East,Q4,0.396,0.35,0.209,0.045
East,Q5,0.525,0.249,0.161,0.065
East Midlands,Q1,0.343,0.388,0.227,0.043
East Midlands,Q2,0.313,0.427,0.223,0.038
East Midlands,Q3,0.373,0.407,0.187,0.034
East Midlands,Q4,0.43,0.382,0.169,0.018
East Midlands,Q5,0.57,0.272,0.131,0.027
London,Q1,0.059,0.248,0.344,0.348
London,Q2,0.055,0.28,0.345,0.319
London,Q3,0.073,0.294,0.319,0.314
London,Q4,0.103,0.337,0.353,0.207
London,Q5,0.143,0.253,0.287,0.317
North East,Q1,0.159,0.43,0.339,0.072
North East,Q2,0.143,0.466,0.328,0.063
North East,Q3,0.18,0.47,0.29,0.06
North East,Q4,0.22,0.467,0.279,0.034
North East,Q5,0.328,0.374,0.242,0.056
North West,Q1,0.182,0.421,0.333,0.063
North West,Q2,0.164,0.457,0.323,0.056
North West,Q3,0.205,0.458,0.284,0.052
North West,Q4,0.249,0.451,0.271,0.03
North West,Q5,0.365,0.356,0.231,0.048
Scotland,Q1,0.225,0.256,0.227,0.292
Scotland,Q2,0.211,0.29,0.23,0.269
Scotland,Q3,0.262,0.288,0.2,0.25
Scotland,Q4,0.34,0.304,0.204,0.152
Scotland,Q5,0.431,0.207,0.151,0.211
South East,Q1,0.283,0.309,0.268,0.14
South East,Q2,0.261,0.345,0.267,0.127
South East,Q3,0.318,0.337,0.229,0.116
South East,Q4,0.385,0.331,0.218,0.066
South East,Q5,0.506,0.234,0.166,0.094
South West,Q1,0.302,0.301,0.281,0.116
South West,Q2,0.279,0.336,0.28,0.105
South West,Q3,0.339,0.327,0.239,0.096
South West,Q4,0.405,0.318,0.224,0.053
South West,Q5,0.529,0.223,0.171,0.077
Wales,Q1,0.277,0.338,0.333,0.051
Wales,Q2,0.252,0.373,0.328,0.046
Wales,Q3,0.309,0.366,0.282,0.042
Wales,Q4,0.364,0.351,0.262,0.023
Wales,Q5,0.499,0.258,0.209,0.035
West Midlands,Q1,0.246,0.417,0.266,0.071
West Midlands,Q2,0.223,0.455,0.259,0.063
West Midlands,Q3,0.273,0.446,0.223,0.058
West Midlands,Q4,0.325,0.433,0.21,0.032
West Midlands,Q5,0.455,0.325,0.171,0.049
Yorkshire and The Humber,Q1,0.214,0.416,0.316,0.053
Yorkshire and The Humber,Q2,0.193,0.453,0.307,0.047
Yorkshire and The Humber,Q3,0.239,0.45,0.267,0.044
Yorkshire and The Humber,Q4,0.286,0.438,0.252,0.024
Yorkshire and The Humber,Q5,0.412,0.338,0.211,0.038
