aacode	hhcompx	hhcomp1	hhtype11	hhtype7	hhtype6	hhsizex	famnumx	loncoupx	nlpar	ncouple	nsing	ndepchil	nxdepch	otherfam	othfamlp	nounits1	cohabhrp	cohabprt	studprt	sft	agehrpx	agehrp2x	agehrp4x	agehrp6x	ager	agepartx	pyngx	pyngbx	agen16	grossa	ageoldx	ageoldbx	olderx	emphrpx	emphrp3x	empprtx	nssech	nssecp	hhempx	empprt3x	nemp	nunemp	ninac	nstud	studhrp	workless	ethhrp8x	ethhrp4x	ethhrp2x	ethprt	ethhrp8n	ethhrp4n	ethhrp2n	ethprtn	sexhrp	sexprt	freeleas	owntype	hatentp	bedstdx	nbedsx	bedrqx	nshare	nkita	totkitsa	nbatha	nliving	nroomsa	nrooms1a	sharer	accomhh	accomhh1	lenres	lenresb	lenown	lenownb	buypresh	ftbuyer	prevten	tenex	tenure1	tenure2	tenure3	tenure4	hhltsick	hpregdis	mortwkx	rentwkx	rentflg	rentexs	rentexsf	hhincx	hhinc5x	hhincflg	amthbenx	housbenx	hhbensx	jointinc	allincx	hyeargrx	hhvulx	equityr	equityr5	bhcinceq	bhcinc_1	bhcinc_2	ahcinceq	ahcinc_1	ahcinc_2
J0011101	6	7	11	6	5	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	1	45	1	3	4	4	0	45	5	0	12	45	3	0	1	1	-9	10	0	1	-9	1	0	0	0	2	0	1	1	1	-9	1	1	1	-9	2	-9	-9	-9	1	4	2	1	2	2	1	2	2	4	4	2	3	3	9	5	-9	-9	-9	3	9	5	5	4	4	2	2	2	-9	69.2307692307692	0	69.2307692307692	0	11856.36	2	0	0	2	2	13759	13759	13759	2	-99999999	-9	319.363088404133	2	0	249.556034482759	2	0
J0011102	7	7	11	6	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	77	2	4	6	6	0	77	7	0	16	77	6	1	3	3	-9	5	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	2	-9	-9	-9	1	3	1	1	2	2	1	2	2	3	3	2	4	4	1	2	-9	-9	-9	3	7	5	5	4	4	2	2	2	-9	67.3846153846154	0	67.3846153846154	0	8365.24	1	0	64.6153846153846	1	1	8365.24	11725.24	8365.24	1	-99999999	-9	342.285878300804	2	0	279.218832891247	2	0
J0011103	6	7	11	6	5	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	58	1	3	5	4	0	58	5	0	12	58	4	0	6	3	-9	6	0	4	-9	0	0	1	0	2	1	1	1	1	-9	1	1	1	-9	2	-9	-9	-9	-9	4	2	1	2	2	1	2	2	3	3	2	5	5	1	2	-9	-9	-9	3	3	3	11	5	6	3	1	2	-9	137.27689260083	1	137.27689260083	0	4901	1	2	137.27689260083	1	1	4901	12039.3984152432	4901	1	-99999999	-9	345.562526269895	2	0	162.5	1	1
J0011104	7	7	11	6	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	84	2	4	6	6	0	84	7	0	16	84	6	1	3	3	-9	12.1	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	2	-9	1	1	-9	5	3	1	2	2	1	2	2	7	7	2	2	2	21	7	21	7	12	2	9	2	1	1	1	1	1	1	0	-9	-9	-9	-9	17436	2	0	-9	-9	2	19214	19214	19214	1	220000	5	481.14954075775	3	0	555.810676392573	4	0
J0011106	6	7	11	6	5	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	52	1	3	4	4	0	52	5	0	12	52	4	0	6	3	-9	12.4	0	4	-9	0	0	1	0	2	1	1	1	1	-9	1	1	1	-9	2	-9	-9	-9	1	3	1	1	2	2	1	2	2	3	3	2	4	4	16	6	-9	-9	-9	3	9	5	5	4	4	2	2	1	-9	83	0	83	0	5010	1	7	83	1	1	5010	9326	5010	1	-99999999	-9	267.68082663605	1	0	166.114058355438	1	1
J0011202	4	3	5	3	3	2	1	0	1	0	0	1	0	2	1	1	2	-9	-9	0	48	1	3	4	4	0	15	3	1	2	48	3	0	6	3	-9	9.1	0	4	-9	0	0	1	0	2	1	1	1	1	-9	1	1	1	-9	2	-9	-9	-9	-9	4	3	2	2	2	1	2	2	5	5	2	3	3	0	1	-9	-9	-9	3	7	3	11	5	6	3	2	2	-9	155.769230769231	0	155.769230769231	0	14159.6	2	2	138.461538461538	1	1	14159.6	21359.6	14159.6	1	-99999999	-9	410.761538461538	3	0	254.992307692308	2	0
J0011203	5	3	7	4	4	2	1	0	1	0	0	0	1	2	1	1	2	-9	-9	1	56	1	3	5	4	0	32	5	0	9	56	4	0	3	3	-9	4.1	0	3	-9	1	0	1	0	2	0	1	1	1	-9	1	1	1	-9	2	-9	1	1	-9	4	3	2	2	2	1	2	2	5	5	2	2	2	10	6	10	6	23	2	9	2	1	1	1	1	1	2	0	-9	-9	-9	-9	9360	1	0	-9	-9	1	9360	9360	21360	1	180000	4	364.153076923077	2	0	364.153076923077	3	0
J0011204	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	0	67	2	4	6	5	69	67	6	0	13	69	5	2	3	3	3	13.1	13.4	3	3	0	0	2	0	2	-9	1	1	1	1	1	1	1	1	1	2	1	1	-9	4	2	1	2	2	1	2	2	4	4	2	2	2	39	8	40	8	4	1	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	34132.44	4	0	-9	-9	2	38634.25	38634.25	38634.25	1	200000	5	635.296923076923	4	0	635.296923076923	5	0
J0011207	3	1	2	2	2	5	1	1	0	1	0	3	0	2	1	1	-9	-9	2	1	37	1	2	3	3	39	1	1	3	1	39	3	0	1	1	6	4.1	13.1	1	3	1	0	1	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	3	3	3	2	2	1	2	2	5	5	2	3	3	6	5	6	5	27	2	9	1	2	2	2	1	2	2	161.538461538462	-9	-9	-9	-9	24497.56	3	0	-9	-9	2	30306.7	30306.7	30306.7	2	137000	4	280.8	1	0	179.838461538462	1	1
J0011303	3	1	2	2	2	4	1	1	0	1	0	2	0	2	1	1	-9	-9	2	2	50	1	3	4	4	50	12	3	1	2	50	4	0	1	1	1	8.1	12.2	1	1	2	0	0	1	2	0	1	1	1	1	1	1	1	1	2	1	1	1	-9	4	4	3	2	2	1	2	2	6	6	2	1	1	3	4	3	4	30	2	9	1	2	2	2	1	2	2	223.846153846154	-9	-9	-9	-9	24926.45	3	0	-9	-9	2	28792.4	28792.4	28792.4	2	231000	5	294.952865761689	2	0	140.389957264957	1	1
J0011304	3	1	2	2	2	3	1	1	0	1	0	1	0	2	1	1	1	1	2	2	38	1	2	3	3	38	12	3	1	2	38	3	0	1	1	1	3.4	12.2	1	1	2	0	0	0	2	0	1	1	1	1	1	1	1	1	1	2	-9	-9	1	3	2	2	2	2	1	2	2	4	4	2	3	3	1	2	-9	-9	-9	3	7	5	5	4	4	2	2	2	-9	75	0	75	0	45382.21	5	0	0	2	2	58255.6	58255.6	58255.6	2	-99999999	-9	711.686057692308	5	0	649.186057692308	5	0
J0011307	3	1	2	2	2	4	1	1	0	1	0	2	0	2	1	1	-9	-9	2	1	48	1	3	4	4	39	15	3	1	2	48	3	0	1	1	6	5	7.2	1	3	1	0	1	1	2	0	1	1	1	1	1	1	1	1	1	2	-9	-9	1	3	3	3	2	2	1	2	2	5	5	2	2	2	7	5	-9	-9	-9	3	9	5	5	4	4	2	1	2	-9	79.8076923076923	0	79.8076923076923	0	20120.36	3	0	79.8076923076923	1	1	22916.4	27066.4	22916.4	1	-99999999	-9	281.167284522706	1	0	210.288043478261	2	1
J0011401	7	7	11	6	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	67	2	4	6	5	0	67	6	0	14	67	5	1	3	3	-9	10	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	2	-9	-8	-8	-9	4	2	1	2	2	1	2	2	4	4	2	6	6	22	7	22	7	11	2	9	2	1	1	1	1	1	2	0	-9	-9	-9	-9	9672	1	0	-9	-9	2	9672	9672	9672	2	75000	2	274.964408725603	1	0	317.631299734748	3	0
J0011403	3	1	2	2	2	5	1	1	0	1	0	3	0	2	1	1	1	1	2	2	43	1	2	3	3	35	7	2	3	2	43	3	0	1	1	1	9.1	9.1	1	1	2	0	0	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	4	4	3	2	2	1	2	2	6	6	2	1	1	4	4	4	4	29	2	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	45102.7	5	0	-9	-9	2	55021.2	55021.2	55021.2	2	450000	5	526.018028846154	4	0	526.018028846154	4	0
J0011404	6	6	10	5	5	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	1	52	1	3	4	4	0	52	5	0	11	52	4	0	1	1	-9	3.2	0	1	-9	1	0	0	0	2	0	1	1	1	-9	1	1	1	-9	1	-9	1	1	-9	5	3	1	2	2	1	2	2	5	5	2	2	2	5	5	5	5	28	2	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	21106.76	3	0	-9	-9	2	26472.5	26472.5	26472.5	2	300000	5	574.390355912744	4	0	663.519893899204	5	0
J0011405	7	7	11	6	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	68	2	4	6	5	0	68	6	0	14	68	5	1	3	3	-9	4.3	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	2	-9	1	1	-9	5	4	1	2	2	1	2	2	6	6	2	3	3	9	5	30	8	6	2	9	2	1	1	1	1	1	2	0	-9	-9	-9	-9	7379.32	1	0	-9	-9	1	7379.32	7379.32	7379.32	1	170000	4	217.546498277842	1	1	251.303713527851	2	0
J0011406	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	0	80	2	4	6	6	80	80	7	0	16	80	6	2	3	3	3	4.1	7.1	3	3	0	0	2	0	2	-9	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	3	1	2	2	1	2	2	7	7	2	1	1	6	5	7	5	26	2	9	2	1	1	1	1	1	2	0	-9	-9	-9	-9	23682.224	3	0	-9	-9	2	25068.5	25068.5	25068.5	2	275000	5	433.119692307692	3	0	433.119692307692	4	0
